# z      distance_modulus     err
    0.330600    41.089289     0.156150
    0.330700    41.127742     0.148100
    0.330810    41.167180     0.155950
    0.330940    41.385421     0.106850
    0.330960    41.201547     0.190550
    0.331590    41.276735     0.140100
    0.331590    41.367786     0.116750
    0.331800    41.424464     0.120050
    0.332930    41.174011     0.143750
    0.333980    41.780411     0.159200
    0.334930    41.200684     0.112900
    0.337420    41.305569     0.146050
    0.337480    41.502109     0.166250
    0.337530    41.293121     0.106550
    0.338290    41.272145     0.151000
    0.338480    41.423344     0.139050
    0.338500    41.375724     0.161800
    0.340520    41.409944     0.105550
    0.340920    41.357601     0.148500
    0.341600    41.407227     0.169250
    0.345460    41.279665     0.162600
    0.345930    41.342988     0.111000
    0.346880    41.338007     0.253300
    0.347010    41.244215     0.140450
    0.348720    41.466440     0.133150
    0.349020    41.305382     0.122300
    0.349230    41.321921     0.115750
    0.349310    41.326866     0.138050
    0.349570    41.399175     0.120000
    0.349570    41.597964     0.110650
    0.350700    41.503961     0.107250
    0.350920    41.423535     0.128300
    0.351570    41.379995     0.113600
    0.351610    41.413754     0.115800
    0.353060    41.473324     0.151500
    0.353630    41.606071     0.145550
    0.355270    41.347088     0.113000
    0.355820    41.634101     0.126450
    0.358330    41.519663     0.114250
    0.358580    41.572246     0.118600
    0.359020    41.475447     0.134200
    0.360010    41.332289     0.133500
    0.360200    41.416294     0.160400
    0.360820    41.539404     0.142150
    0.361350    41.498794     0.203600
    0.361650    41.483726     0.164500
    0.364910    41.615947     0.142300
    0.366160    41.934330     0.184100
    0.366460    41.605166     0.124300
    0.367830    41.353492     0.123450
    0.367910    41.648443     0.101900
    0.369240    41.473073     0.143250
    0.369390    41.486764     0.155800
    0.370030    41.589530     0.163600
    0.370130    41.483748     0.135800
    0.370500    41.462743     0.104300
    0.370510    41.430958     0.113750
    0.370530    41.579057     0.112950
    0.370600    41.473484     0.121100
    0.370890    41.578327     0.263750
    0.371440    41.423220     0.124500
    0.371500    41.581705     0.107450
    0.371640    41.616705     0.106450
    0.373500    41.756987     0.103900
    0.373860    41.499714     0.085400
    0.378600    41.844580     0.146300
    0.379490    41.589634     0.139500
    0.379900    41.598577     0.130600
    0.380030    41.828077     0.150600
    0.380540    41.653354     0.130700
    0.380830    41.478020     0.138200
    0.381640    41.576859     0.140850
    0.381710    41.640308     0.143000
    0.382460    41.703822     0.182400
    0.384470    41.882334     0.149450
    0.385980    41.530900     0.126000
    0.387340    41.801801     0.185250
    0.387750    41.410933     0.158850
    0.388870    41.617083     0.140950
    0.392670    41.600272     0.158800
    0.400480    41.754847     0.115100
    0.400780    41.737822     0.134800
    0.400800    41.776365     0.160200
    0.402140    41.866115     0.149000
    0.404550    41.681544     0.107500
    0.404710    41.945790     0.153650
    0.405470    41.835136     0.110450
    0.409270    41.765049     0.190450
    0.409460    41.913167     0.108950
    0.409960    41.852071     0.205450
    0.411310    42.097569     0.153850
    0.411550    41.673162     0.128900
    0.416640    41.848360     0.117550
    0.418650    41.779300     0.115200
    0.419290    42.131264     0.149050
    0.419300    41.993021     0.152000
    0.419570    41.792571     0.120950
    0.420280    42.083733     0.233100
    0.420860    41.787393     0.162450
    0.422440    41.901804     0.119200
    0.423530    41.691857     0.265500
    0.423590    42.047122     0.142500
    0.426930    41.762981     0.162700
    0.426960    41.990603     0.152950
    0.427840    42.234754     0.170650
    0.428660    42.009662     0.129400
    0.428860    41.754253     0.147100
    0.429670    41.816469     0.152700
    0.430150    41.855395     0.125450
    0.434870    41.967500     0.114500
    0.435440    41.949118     0.109000
    0.436730    42.054570     0.141850
    0.438850    41.869164     0.191850
    0.439270    42.139249     0.132000
    0.440070    42.099338     0.169250
    0.440580    42.070376     0.136950
    0.442550    41.825633     0.113700
    0.443680    42.070390     0.134900
    0.447580    42.029329     0.152400
    0.449560    42.118903     0.141350
    0.450590    41.970071     0.131600
    0.450700    41.878663     0.154750
    0.451550    42.214792     0.125150
    0.451690    42.030006     0.137700
    0.451730    41.902467     0.124650
    0.460400    42.309739     0.147250
    0.461010    42.066781     0.164350
    0.461270    42.199378     0.137750
    0.461560    42.041098     0.111150
    0.466400    42.386913     0.158700
    0.466640    42.035056     0.116450
    0.468400    42.239482     0.117850
    0.470390    42.005608     0.141000
    0.470570    42.200473     0.122100
    0.470580    41.951022     0.129250
    0.471750    41.866827     0.150000
    0.475720    42.175827     0.109000
    0.477960    42.363876     0.164900
    0.479420    42.168303     0.146300
    0.480400    42.154346     0.172250
    0.480570    42.174043     0.115100
    0.480720    42.414866     0.113800
    0.481760    42.476137     0.154150
    0.488810    42.432071     0.113600
    0.494800    42.138851     0.117650
    0.497370    42.330196     0.132250
    0.500740    42.352175     0.135950
    0.500910    41.997376     0.196300
    0.502750    42.615135     0.208550
    0.502760    42.260033     0.208200
    0.503090    42.326819     0.126050
    0.507180    42.293485     0.140400
    0.507360    42.234066     0.125300
    0.508180    42.627455     0.141350
    0.510020    42.350467     0.118200
    0.510900    42.339167     0.173050
    0.511760    42.295152     0.116500
    0.513800    42.368450     0.132900
    0.514340    42.463122     0.117250
    0.514760    42.695328     0.135500
    0.515590    42.630020     0.176200
    0.518790    42.371516     0.151800
    0.519410    42.551596     0.196050
